taxonID	parentNameUsageID	acceptedNameUsageID	taxonRank	scientificName	isExtinct	isMarine	isTerrestrial	isFreshwater
10434	10431		Family	Campylomonadaceae		1		
10435	10431		Family	Cryptomonadaceae		1		
10436		10435	Family	Cryptomonadidae				
10437	10431		Family	Cyathomonadaceae				
10438	10431		Family	Hemiselmidaceae		1		
10439	10431		Family	Hilleaceae				
10440	1038		Order	Pyrenomonadales		1		
10441	10440		Family	Chroomonadaceae		1		
10442	10440		Family	Geminigeraceae		1		
10443	10440		Family	Pyrenomonadaceae		1		
10444	1038		Order	Tetragonidiales				
10445	10444		Family	Tetragonidiaceae				
10446	109		Family	Katablepharidaceae				
10447		10446	Family	Kathablepharidae		1		
1039	109		Class	Goniomonadophyceae				
10448	1039		Order	Goniomonadales		1		
10449	10448		Family	Goniomonadaceae		1		
1040	109		Class	Katablepharidophyceae				
10450	1040		Order	Katablepharidales				
10451	109		Subphylum	Leucocrypta				
1041	109		Class	Telonemea				
10452	1041		Order	Telonemida				

110	3		Phylum	Haptophyta		1		
111		110	Phylum	Haptomonada		1		
10453	110		Family	Alisphaeraceae				
10454	110		Family	Ceratolithaceae				
1042	110		Class	Pavlovophyceae				
10455		1042	Subclass	Pavlovophycidae				
10456	1042		Order	Pavlovales				
10457	10456		Family	Pavlovaceae				
1043	110		Class	Prymnesiophyceae		1		
1044		1043	Class	Coccolithophyceae				
10458		1043	Order	Prymnesiida				
10459		1043	Subclass	Prymnesiophycidae		1		
112		1043	Phylum	Prymnesiophyta		1		
10460	1043		Order	Coccolithales				
10461	10460		Family	Calcidiscaceae		1		
10462	10460		Family	Coccolithaceae				
10463	10460		Family	Hymenomonadaceae		1		
10464	10460		Family	Pleurochrysidaceae				
10465	10460		Family	Reticulosphaeraceae				
10466	1043		Order	Coccosphaerales		1		
10467		10466	Order	Coccolithophorales		1		
10468	10466		Family	Braarudosphaeraceae				
10469	10466		Family	Calyptrosphaeraceae		1		
10470	10466		Family	Deflandriaceae		1		
10471		10470	Family	Papposphaeraceae		1		
10472	10466		Family	Halopappaceae		1		
10473	1043		Order	Isochrysidales		1		
10474	10473		Family	Gephyrocapsaceae		1		
10475	10473		Family	Isochrysidaceae		1		
10476	10473		Family	Noelaerhabdaceae		1		
10477	1043		Order	Phaeocystales				
10478	10477		Family	Phaeocystaceae		1		
10479	1043		Order	Prymnesiales		1		
10480	10479		Family	Chrysochromulinaceae				
10481	10479		Family	Chrysotilaceae				
10482	10479		Family	Prymnesiaceae		1		
10483	1043		Order	Syracosphaerales				
10484	10483		Family	Calciosoleniaceae				
10485	10483		Family	Rhabdosphaeraceae		1		
10486	10483		Family	Syracosphaeraceae		1		
10487	1043		Order	Zygodiscales				
10488	10487		Family	Helicosphaeraceae				
10489	10487		Family	Pontosphaeraceae		1		
10490		10489	Family	Pontosphaeridae				

113	3		Phylum	Ochrophyta		1		
114		113	Phylum	Heterokontophyta		1		
115		113	Phylum	Chrysomonada		1		
10491	113		Subphylum	Khakista				
1045	10491		Class	Bacillariophyceae		1		
116		1045	Phylum	Bacillariophyta		1		
1046		1045	Class	Diatomeae				
1047		1045	Class	Diatomophyceae				
1048		1045	Class	Fragilariophyceae		1		
10492	1045		Subclass	Bacillariophycidae		1		
10493	10492		Superorder	Bacillariophycanae				
10494	10493		Order	Achnanthales		1		
10495	10494		Family	Achnanthaceae		1		
10496	10494		Family	Achnanthidiaceae		1		
10497	10494		Family	Cocconeidaceae		1		
10498	10493		Order	Bacillariales		1		
10499	10498		Family	Bacillariaceae		1		
10500		10499	Family	Nitzschiaceae				
10501	10493		Order	Cymbellales		1		
10502	10501		Family	Anomoeoneidaceae		1		
10503	10501		Family	Cymbellaceae		1		
10504	10501		Family	Gomphonemataceae		1		
10505	10501		Family	Rhoicospheniaceae		1		
10506	10493		Order	Dictyoneidales				
10507	10506		Family	Dictyoneidaceae				
10508	10493		Order	Lyrellales		1		
10509	10508		Family	Lyrellaceae				
10510	10493		Order	Mastogloiales		1		
10511	10510		Family	Mastogloiaceae		1		
10512	10493		Order	Naviculales		1		
10513	10512		Family	Amphipleuraceae		1		
10514	10512		Family	Diploneidaceae		1		
10515	10512		Suborder	Diploneidineae		1		
10516	10512		Family	Naviculaceae		1		
10517	10512		Suborder	Naviculineae		1		
10518	10517		Family	Plagiotropidaceae		1		
10519	10517		Family	Proschkiniaceae		1		
10520	10512		Suborder	Neidiineae		1		
10521	10520		Family	Berkeleyaceae		1		
10522	10520		Family	Brachysiraceae		1		
10523	10520		Family	Cavinulaceae		1		
10524	10520		Family	Cosmioneidaceae		1		
10525	10520		Family	Diadesmidaceae		1		
10526	10520		Family	Neidiaceae		1		
10527	10512		Suborder	Phaeodactylineae		1		
10528	10527		Family	Phaeodactylaceae		1		
10529	10512		Family	Pinnulariaceae		1		
10530	10512		Family	Pleurosigmataceae		1		
10531	10512		Family	Scolioneidaceae				
